AREA_S_CD,Neighbourhood,Arsons,Assaults,Break & Enters,Drug Arrests,Fire Medical Calls,Fire Vehicle Incidents,Fires & Fire Alarms,Hazardous Incidents,Murders,Robberies,Sexual Assaults,Thefts,Total Major Crime Incidents,Vehicle Thefts,Equity_Score,Population,Area
120,Clairlea-Birchmount,3,285,116,38,1190,102,296,156,2,44,24,8,583,66,48.34,24775,7.4
033,Clanton Park,1,121,60,15,353,95,148,97,1,30,12,10,291,42,69.53,14610,4.2
123,Cliffcrest,1,131,44,30,478,40,161,125,0,59,14,4,289,7,55.95,15700,7.1
092,Corso Italia-Davenport,1,127,50,21,458,66,102,81,0,31,15,2,264,18,54.03,13735,1.9
066,Danforth,1,121,49,34,491,59,119,72,1,29,12,3,262,13,33.21,9450,1.1
059,Danforth-East York,0,82,41,14,378,24,110,93,0,5,4,2,156,8,67.56,16710,2.2
047,Don Valley Village,1,174,123,34,636,96,177,102,0,40,18,10,449,50,66.94,26735,4.1
126,Dorset Park,2,179,88,39,708,131,230,110,0,56,20,7,419,30,60.52,24360,6
093,Dovercourt-Wallace Emerson-Juncti,0,275,162,127,1145,99,403,228,1,53,55,8,743,62,45.12,34635,3.7
026,Downsview-Roding-CFB,5,402,187,126,1262,365,441,233,3,77,50,8,981,128,57.09,34650,14.9
083,Dufferin Grove,0,146,75,41,323,43,119,81,0,42,19,10,348,15,37.16,11450,1.4
062,East End-Danforth,1,252,102,46,866,66,277,146,0,39,15,4,468,10,66.79,20840,2.6
009,Edenbridge-Humber Valley,1,57,75,4,317,25,113,73,0,18,5,5,185,21,65.82,14945,5.5
138,Eglinton East,0,239,88,48,720,76,223,111,1,66,17,10,492,23,63.36,22830,3.2
005,Elms-Old Rexdale,1,77,25,14,321,71,107,43,0,23,5,19,185,22,36.28,9550,2.9
032,Englemount-Lawrence,2,147,82,17,669,69,246,140,0,79,19,5,376,27,29.54,22080,3.6
011,Eringate-Centennial-West Deane,0,58,63,9,522,141,142,81,0,35,9,5,204,25,56.01,18805,8.6
013,Etobicoke West Mall,0,73,26,11,290,60,72,46,1,15,6,4,151,15,62.56,10925,1.7
044,Flemingdon Park,3,159,54,35,640,113,225,90,0,40,23,30,354,13,51.19,22165,2.5
102,Forest Hill North,0,48,57,4,488,61,165,105,0,22,14,4,155,6,35.81,12475,1.6
101,Forest Hill South,0,19,58,0,252,22,199,83,0,4,1,7,92,3,74.94,10925,2.5
025,Glenfield-Jane Heights,3,299,84,117,911,98,362,197,1,120,72,4,734,37,86.24,31395,5.2
065,Greenwood-Coxwell,2,183,96,30,461,40,148,98,0,42,18,2,392,21,24.39,14075,1.7
140,Guildwood,0,44,32,9,284,24,48,48,0,14,7,2,113,5,52.13,9815,3.8
053,Henry Farm,0,39,54,14,237,136,97,49,0,10,5,2,134,10,66.19,11340,2.6
087,High Park-Swansea,0,103,59,19,522,59,251,113,0,17,6,2,232,26,51.87,21750,5.3
088,High Park North,3,125,106,29,744,53,225,101,0,26,8,1,309,14,77.14,21300,1.9
134,Highland Creek,0,70,80,11,290,91,99,48,0,19,9,1,207,17,80.58,13100,5.1
048,Hillcrest Village,0,50,63,9,395,108,139,52,0,16,13,6,184,27,58.77,17650,5.3
008,Humber Heights-Westmount,1,41,28,12,512,37,165,64,0,15,1,1,106,8,65.84,10580,2.8
021,Humber Summit,0,98,76,11,566,117,208,73,1,30,8,6,289,59,56.13,12530,7.9
022,Humbermede,2,131,58,35,329,98,74,49,0,40,34,2,345,45,34.3,15850,4.4
106,Humewood-Cedarvale,0,72,26,18,273,6,119,94,0,4,5,4,139,10,36.09,14110,1.9
125,Ionview,0,81,32,17,402,27,84,45,1,14,17,0,173,11,73.94,13095,2
014,Islington-City Centre West,3,268,207,71,1616,374,625,249,1,58,37,23,853,188,35.73,38070,16.4
090,Junction Area,2,143,57,40,501,83,199,111,0,15,14,3,304,32,62.51,14015,2.6
110,Keelesdale-Eglinton West,0,125,58,24,340,32,89,58,0,39,15,1,283,21,64.27,10640,1.7
124,Kennedy Park,0,225,78,48,805,97,280,105,0,59,20,8,461,23,40.14,17050,3.6
078,Kensington-Chinatown,3,369,166,197,1568,134,494,146,1,68,25,14,869,29,42.38,18500,1.5
006,Kingsview Village-The Westway,0,134,59,47,680,186,244,117,1,32,22,8,351,48,50.7,21725,5.1
015,Kingsway South,0,37,29,6,251,18,112,54,0,30,1,2,120,15,41.76,9175,2.6
117,L'Amoreaux,1,116,112,35,944,116,307,118,1,67,8,7,367,21,86.19,44915,7.1
114,Lambton Baby Point,1,28,20,8,207,9,59,49,2,12,2,1,81,8,50.78,7920,1.7
038,Lansing-Westgate,0,70,46,13,432,114,159,97,0,10,19,4,186,24,66.36,14640,5.4
105,Lawrence Park North,1,33,56,2,290,28,104,138,0,13,4,6,141,27,76.15,14540,2.3
103,Lawrence Park South,0,30,109,8,214,32,228,149,0,9,5,4,191,26,92.05,15075,3.2
056,Leaside-Bennington,0,40,63,5,326,59,150,132,0,32,6,8,178,24,90.12,17010,4.8
084,Little Portugal,0,137,77,37,444,27,129,70,0,16,12,7,296,10,85.82,12055,1.2
019,Long Branch,0,78,41,13,327,22,103,56,0,12,21,2,184,17,60.04,9630,2.3
132,Malvern,2,319,118,81,979,174,283,161,2,118,37,3,729,51,56.26,45085,8.9
029,Maple Leaf,0,37,29,9,303,72,85,29,0,19,10,0,117,13,43.89,10195,2.5
012,Markland Wood,0,42,24,10,251,50,71,26,0,20,3,0,113,14,50.72,10435,2.9
130,Milliken,2,79,124,5,425,89,183,43,0,32,3,15,325,67,74.88,27160,9.4
017,Mimico,0,201,139,52,914,156,378,172,0,16,14,9,466,35,56.85,26550,6.9
135,Morningside,4,161,47,24,457,61,216,99,0,51,27,1,330,19,62.36,17585,5.6
073,Moss Park,6,371,116,302,1824,111,805,215,0,64,36,5,921,27,36.89,16310,1.4
115,Mount Dennis,0,135,53,48,445,53,220,61,1,33,16,2,302,14,50.11,13150,2.1
002,Mount Olive-Silverstone-Jamestown,3,316,61,90,1016,59,361,176,1,78,75,7,690,62,26.39,32790,4.6
099,Mount Pleasant East,1,51,52,9,405,52,150,99,0,6,5,5,135,7,29.29,15980,3.1
104,Mount Pleasant West,0,164,93,24,957,54,376,142,0,35,19,2,355,18,86.04,28590,1.3
018,New Toronto,0,137,69,42,543,45,223,83,0,37,8,0,321,28,76.39,10905,3.5
050,Newtonbrook East,0,114,116,5,822,122,190,79,1,11,10,3,275,15,53.21,16425,4.1
036,Newtonbrook West,0,140,127,19,631,48,147,108,0,45,17,8,392,36,65.18,23050,4.7
082,Niagara,0,241,46,64,598,103,401,124,0,16,25,8,417,17,56.07,21000,3.1
068,North Riverdale,0,227,79,27,624,46,129,75,0,40,19,0,402,10,72.54,12195,1.8
074,North St.James Town,0,123,97,38,692,36,366,152,0,28,9,16,326,15,81.21,17825,0.4
054,O'Connor-Parkview,0,264,43,34,603,47,205,125,0,25,21,7,409,15,47.55,18315,4.9
121,Oakridge,4,169,91,55,498,50,188,97,0,30,13,4,376,14,48.67,13505,1.8
107,Oakwood Village,1,165,56,37,622,40,141,117,0,18,14,1,307,16,28.57,21075,2.2
058,Old East York,0,55,31,22,306,98,73,64,0,11,3,4,134,8,57.33,9115,2.3
080,Palmerston-Little Italy,1,123,57,25,395,67,149,99,0,18,18,4,261,16,65.61,13735,1.4
045,Parkwoods-Donalda,1,177,106,34,895,233,254,151,0,51,10,4,423,41,72.19,34620,7.5
023,Pelmo Park-Humberlea,1,63,37,43,347,186,115,42,0,39,5,6,222,29,53.79,8705,4.2
067,Playter Estates-Danforth,2,62,33,17,363,47,104,45,0,18,9,4,146,3,53.79,7655,0.9
046,Pleasant View,0,44,23,13,296,68,86,39,0,25,9,3,127,10,76.16,16145,3
010,Princess-Rosethorn,0,48,50,16,214,22,76,54,0,17,1,9,157,16,65.72,11200,5.2
072,Regent Park,1,116,36,55,413,51,212,130,1,18,13,1,259,19,76.57,10010,0.6
004,Rexdale-Kipling,0,59,32,15,305,34,94,55,1,16,20,3,164,18,29.81,10485,2.5
111,Rockcliffe-Smythe,2,182,68,50,795,62,195,112,0,31,29,5,404,39,43.76,22270,5.1
086,Roncesvalles,1,192,75,74,782,77,264,134,0,18,13,4,386,10,33.86,15050,1.5
098,Rosedale-Moore Park,0,85,82,9,972,130,578,222,0,20,12,9,237,20,64.95,20635,4.6
131,Rouge,2,170,134,33,838,220,296,179,0,62,30,14,534,91,83.78,45905,37.6
089,Runnymede-Bloor West Village,1,69,42,8,311,20,83,75,0,17,3,5,165,21,48.81,9635,1.6
028,Rustic,0,86,43,25,380,83,181,92,1,41,14,5,233,18,85.85,9950,2.1
139,Scarborough Village,1,226,93,31,652,35,180,94,1,62,31,3,474,27,35.4,16615,3.1
085,South Parkdale,2,333,64,140,1056,158,491,168,1,42,16,9,634,29,33.94,21245,2.3
070,South Riverdale,2,276,182,89,895,199,367,231,1,47,21,9,660,35,33.1,25640,9.6
040,St.Andrew-Windfields,0,63,112,5,502,200,249,108,0,12,10,7,235,26,59.94,17955,7.3
116,Steeles,2,51,82,5,330,48,95,45,0,26,7,4,205,30,77.43,25010,4.6
016,Stonegate-Queensway,1,131,86,19,729,81,167,135,0,21,10,9,326,50,51.66,24690,7.9
118,Tam O'Shanter-Sullivan,4,112,81,27,711,111,276,97,0,37,18,5,292,12,69.29,27390,5.5
061,Taylor-Massey,1,187,51,28,523,18,212,89,1,28,19,7,343,22,55.14,15595,1.1
063,The Beaches,0,114,119,12,369,23,165,162,0,11,14,7,292,15,82.62,21135,3.6
003,Thistletown-Beaumond Heights,0,85,36,16,323,48,90,34,0,17,24,2,192,12,39.78,10140,3.4
055,Thorncliffe Park,2,130,25,30,609,41,227,87,0,17,8,4,253,39,33.09,19225,3.1
081,Trinity-Bellwoods,1,165,67,62,757,83,234,135,1,23,19,2,361,22,60.09,16805,1.7
079,University,1,131,53,54,544,78,296,72,0,30,21,1,296,6,75.07,7790,1.4
043,Victoria Village,0,107,48,14,392,59,154,62,2,17,6,9,221,18,40.39,17180,4.7
077,Waterfront Communities-The Island,6,892,139,148,2115,382,1107,272,1,94,41,17,1393,61,80.99,43365,7.6
136,West Hill,3,387,102,87,1145,78,338,142,1,71,52,3,749,46,37.25,26550,9.6
001,West Humber-Clairville,4,390,175,62,1321,502,705,210,0,82,68,54,1119,288,45.78,34100,30.09
035,Westminster-Branson,0,128,98,23,659,18,169,71,0,27,14,7,323,26,46.57,25445,3.7
113,Weston,0,278,45,89,683,47,336,138,1,66,35,8,554,32,35.99,18170,2.6
091,Weston-Pellam Park,0,125,44,58,353,22,128,64,0,17,26,7,300,23,40.47,12015,1.5
119,Wexford/Maryvale,2,307,132,60,1073,192,271,165,0,49,23,8,620,41,49.47,27020,10.2
051,Willowdale East,0,201,160,18,990,145,504,191,0,36,23,10,485,37,69.67,45025,5
037,Willowdale West,2,85,23,18,345,13,87,73,0,19,9,4,168,10,67.04,15005,2.9
007,Willowridge-Martingrove-Richview,2,131,66,18,640,78,228,111,0,48,22,8,342,49,54.46,21345,5.5
137,Woburn,2,412,128,77,1469,219,504,223,3,107,29,7,808,45,39.01,53350,12.2
060,Woodbine-Lumsden,1,60,12,4,216,23,66,53,0,10,6,2,101,7,59.08,7825,1.2
064,Woodbine Corridor,2,139,47,23,445,30,125,95,1,13,11,1,239,4,68.11,11705,1.6
094,Wychwood,1,91,58,15,507,56,140,96,0,23,13,5,220,15,65.46,13985,1.7
100,Yonge-Eglinton,0,69,60,43,307,34,147,115,0,33,9,1,229,14,88.11,10580,1.6
097,Yonge-St.Clair,0,27,62,0,312,28,175,67,0,3,5,6,111,8,80.99,11655,1.2
027,York University Heights,2,282,150,56,1007,143,798,186,2,99,49,16,776,122,37.66,27715,13.2
031,Yorkdale-Glen Park,1,181,67,60,812,174,286,128,0,81,11,14,551,137,49.53,14685,5.9
